Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Shanghai - Changning International Development Plaza, China","B2, Changning International Development Plaza, No. 1398 Kaixuan Road, Changning District, Shanghai",Shanghai,Shanghai,,China,10,150.0,"31.206152, 121.427058",23,2022-09-22,31.206152,121.427058,31.206152,121.427058,2022,9
"Nanning - Mayor Hongwankeli Shopping Center, China","B2, Wankeli Shopping Center, Changhong Road, Qingxiu District, Nanning City, Guangxi",Nanning,Guangxi,,China,6,250.0,"22.849282, 108.387246",104,2022-09-22,22.849282,108.387246,22.849282,108.387246,2022,9
"Chengdu - Dayi Xiao, China","No. 55 Xueshan Avenue, Dayi County, Chengdu, Sichuan",Chengdu,Sichuan,,China,3,250.0,"30.57703, 103.548807",528,2022-09-22,30.57703,103.548807,30.57703,103.548807,2022,9
"Chongqing - Kaiyi Century Plaza, Changshou, China","B2, Kaiyi Century Plaza, No. 8 Taoyuan Avenue, Changshou District, Chongqing",Chongqing,Chongqing,,China,3,250.0,"29.865255, 107.091912",316,2022-09-22,29.865255,107.091912,29.865255,107.091912,2022,9
"Beijing - Beijing Department Store, China","B3, No. 255 Wangfujing Street, Dongcheng District, Beijing",Beijing,Beijing,,China,3,250.0,"39.920463, 116.415901",48,2022-09-22,39.920463,116.415901,39.920463,116.415901,2022,9
"Aershan - Yurong International Hotel, China","No. 99 Wenquan South Road, Aershan City, Xing'an League, Inner Mongolia",Aershan,Inner Mongolia,,China,3,250.0,"47.168667, 119.95108",1061,2022-09-22,47.168667,119.95108,47.168667,119.95108,2022,9
"Ningbo - Marriott Hotel, China","Ningbo Marriott Hotel, No. 188, Heyi Road, Haishu District, Ningbo City, Zhejiang",Ningbo,Zhejiang,,China,3,250.0,"29.87792532, 121.55289412",1,2022-09-22,29.87792532,121.55289412,29.87792532,121.55289412,2022,9
"Cangzhou - Haixing Service Area East Area (Tianjin direction), China","Haixing Service Area (Tianjin direction) of Rongwu Expressway, Cangzhou City, Hebei",Cangzhou,Hebei,,China,3,250.0,"38.099092, 117.504787",6,2022-09-22,38.099092,117.504787,38.099092,117.504787,2022,9
"Cangzhou - Haixing Service Area West Area (Binzhou direction), China","Haixing service area (Binzhou direction) of Rongwu Expressway, Cangzhou City, Hebei",Cangzhou,Hebei,,China,3,250.0,"38.095919, 117.503328",6,2022-09-22,38.095919,117.503328,38.095919,117.503328,2022,9
"Fengning - Zhaofeng Holiday Hotel, China","Fengning Zhaofeng Holiday Hotel, S244, Fengning Manchu Autonomous County, Chengde City, Hebei",Chengde,Hebei,,China,6,250.0,"41.563981, 116.078967",1554,2022-09-22,41.563981,116.078967,41.563981,116.078967,2022,9
"Dongguan - Guancheng Yingfeng Home Plaza, China","Yingfeng Home Furnishing Plaza, 138 Dongzong Road, Xingtang Community, Guancheng Street, Dongguan",Dongguan,Guangdong,,China,6,250.0,"29.79678431, 119.71462154",41,2022-09-22,29.79678431,119.71462154,29.79678431,119.71462154,2022,9
"Barstow - E Virginia Way, CA",502 E Virginia Way,Barstow,CA,92311,USA,10,250.0,"34.8864348, -117.0198947",721,2022-11-19,34.8864348,-117.0198947,34.8864348,-117.0198947,2022,11
"Jiangmen - Jianmei Plaza, Heshan, China","Jianmei Plaza, No. 28 Fengting Road, Heshan City, Jiangmen City, Guangdong",Jiangmen,Guangdong,,China,3,250.0,"22.7550434, 112.9762657",3,2022-09-22,22.7550434,112.9762657,22.7550434,112.9762657,2022,9
"Tongchuan - Yuehao Hotel, China","Yuehao Hotel, South Huaxia Road and Zhengyang Road, Yaozhou District, Tongchuan City, Shaanxi",Tongchuan,Shaanxi,,China,3,250.0,"34.896095, 108.945409",716,2022-11-24,34.896095,108.945409,34.896095,108.945409,2022,11
"Shanghai - Everbright Life Plaza, China","B2, Everbright Life Plaza, No. 78 Caobao Road, Xuhui District, Shanghai",Shanghai,Shanghai,,China,6,250.0,"31.16730425, 121.42845488",11,2022-11-24,31.16730425,121.42845488,31.16730425,121.42845488,2022,11
"Milk River, AB",8 Ave NW,Milk River,AB,T0K 1M0,Canada,4,250.0,"49.156932, -112.092159",1054,2022-11-23,49.156932,-112.092159,49.156932,-112.092159,2022,11
"Leigh Delamere - Westbound, UK","Leigh Delamere Westbound, M4, Chippenham",Chippenham,England,SN14 6LB,United Kingdom,16,250.0,"51.5101, -2.1563",102,2023-03-17,51.5101,-2.1563,51.5101,-2.1563,2023,3
"Serravalle Scrivia, Italy","1 via della moda, Serravalle Designer Outlet",Serravalle Scrivia,Piedmont,15069,Italy,8,250.0,"44.735582, 8.839758",232,2022-12-29,44.735582,8.839758,44.735582,8.839758,2022,12
"Geiselwind, Germany",Scheinfelder Stra遝 15,Geiselwind,Bavaria,96160,Germany,34,250.0,"49.769144, 10.470409",354,2015-05-13,49.769144,10.470409,49.769144,10.470409,2015,5
"Sanya - Oakwood Hotel, China","No. 118, Huixin Road, Tianya District, Sanya City, Hainan",Sanya,Hainan,,China,6,250.0,"18.27520552, 109.4854791",4,2022-09-22,18.27520552,109.4854791,18.27520552,109.4854791,2022,9
"Chongqing - Joy City, China","B2, Joy City Underground Parking Lot, No. 99, Qiucheng Avenue, Yubei District, Chongqing",Chongqing,Chongqing,,China,6,250.0,"29.72123099, 106.571552",308,2022-09-22,29.72123099,106.571552,29.72123099,106.571552,2022,9
